"","GeneSymbol","A_plus_1","A_plus_2","A_plus_3","A_minus_1","A_minus_2","A_minus_3","B_plus_1","B_plus_2","B_plus_3","B_minus_1","B_minus_2","B_minus_3","A_plus_1_48","A_plus_2_48","A_plus_3_48","A_minus_1_48","A_minus_2_48","A_minus_3_48"
"667","RPS20",7.75844422042183,9.43372841266399,3.84749044644553,4.55164771251265,3.9941766339861,3.84749044644553,9.80596818796509,7.6245981332299,3.84749044644553,3.2611869254018,3.51233315199231,3.84749044644553,2.7468432220902,4.08318489051307,7.80979335476117,4.98501791089484,4.14936988722399,10.8312868565945
"668","MAPRE3",5.41544717227263,7.49247416253735,5.16234769236449,5.07883128791539,4.85173344600283,5.16234769236449,5.60890130599088,6.60805206558426,5.72969389615978,7.59046230594535,6.94699382596921,5.16234769236449,4.38558375152459,5.70899105469223,5.16234769236449,6.5178005573144,4.5294175600579,5.16234769236449
"669","PSME3",3.62054175487174,3.62088833533892,4.45188970860841,9.18838244190931,7.66702321538814,4.45188970860841,3.51100880361401,2.8328114329573,4.45188970860841,5.17019543665454,8.27854242893581,7.81784031351068,4.91549892791024,5.572028688832,7.10014644231529,7.66715178961908,5.69807779089985,4.45188970860841
"670","RBM28",4.3020329299696,18.6792138232022,0.808180620467477,3.00242066915995,6.70820697242725,0.808180620467477,3.53899069376162,0.643563088287786,20.0341463306264,3.13666097423247,1.22771462747463,18.0362690999671,12.9831467271339,4.46323975972995,0.808180620467477,2.73688907266592,-2.13974865267331,0.808180620467477
"671","RPS8",7.77057,8.25164,0,8.53261,6.40275,0,8.07379,7.94521,0,6.14463,7.135,0,7.62233,10.124,0,8.46592,13.5316,0
"672","PRDX5",8.05749141711803,6.79756917873453,4.3765793185894,5.28456712893816,4.42759623175329,4.3765793185894,6.82356303614566,7.48561654682723,4.3765793185894,4.43260457516331,5.98340080132171,4.3765793185894,5.6088101881301,6.86920101412507,9.11019958599211,3.53964267215085,1.88877167078081,6.21779970959763
"673","WDHD1",6.82421,7.39733,0,10.4683,10.1185,0,6.7356,6.96951,0,7.56485,9.85908,0,9.1512,7.8961,0,8.85527,8.15998,0
"674","QKI",3.15595653694303,2.6241718708316,4.18851114698325,8.65723230992413,7.61251852518658,4.18851114698325,3.96348386305133,3.49359998398954,4.18851114698325,6.21680430196495,6.06758145888078,7.84296458817987,5.16516799695331,7.15098718676233,8.49652339959949,6.26504814227415,6.58550903229671,4.18851114698325
"675","KPNA2",4.20060058276518,5.72856518204485,3.8126236836766,9.17512230710229,7.49074019483982,3.8126236836766,5.98777461337521,6.40552656006308,7.38768475901496,6.05796210948303,6.34253248035384,11.5309094479458,3.61687866842158,5.00362706296234,3.8126236836766,3.94458411504868,1.93739023311504,3.8126236836766
"676","GNL3",3.43654935988368,3.26489461514706,4.82705983155838,8.61575259032161,7.07842929203367,4.82705983155838,3.55262007911941,3.76944189731114,4.82705983155838,5.48807920613261,5.03026484269017,4.82705983155838,6.9317590672332,7.25270278660735,8.11012028627653,6.32964221119787,7.8968506177741,4.82705983155838
